gene	logFC	padj
SMARCD3	0.598455801	0.167424077
CCNT2	-0.469096174	0.00044956
GSK3B	0.035920423	0.590917713
KAT6A	-0.340713408	0.000708946
TDRD3	-0.003073306	0.986312442
PPIE	-0.244658023	0.011301656
ATRX	0.599186025	0.001526265
RRN3	-0.200567107	0.022595226
TXLNG	-0.201597459	0.112801857
TRIP6	0.144564705	0.540789191
NLK	-0.160600738	0.154824618
ATXN7L3	0.061543211	0.414311784
PIR	-0.270071466	0.010467224
CNOT3	0.919632417	2.20E-05
DNMT3B	-0.4409225	0.044751332
XRN2	0.181488308	0.06700605
TESC	0.3407091	0.896196381
ESF1	-0.036520826	0.793245256
KDM2B	0.059196024	0.589788219
FUS	-0.311219757	0.096008596
BIRC5	-0.488774838	0.003167265
CCNK	-0.088435679	0.416086614
HNRNPC	-0.280891155	0.002844053
SUPT16H	0.337955936	0.001262906
EZR	-0.510002269	0.000124613
AGO1	-0.156153658	0.132797891
HDAC6	-0.050169801	0.745398153
CBX5	-0.067610036	0.557626925
BTAF1	-0.229165254	0.00410228
WAC	0.050426926	0.407541541
SIRT1	-0.646531085	2.43E-05
JAK2	-0.04868594	0.766538775
ABL1	-0.610327946	0.000402344
MACROH2A2	-0.244888057	0.019241654
SETD1A	0.033609145	0.649091654
MED15	1.022442561	3.03E-05
CECR2	-0.22594369	0.824128483
SMARCB1	-0.10209074	0.109278391
HIRA	-0.969890614	0.000109037
DDX17	0.17287326	0.041108292
TCF20	-0.105176807	0.174374751
HMOX1	0.808359829	0.001943992
THOC5	-0.100955544	0.462161327
CBX7	0.159153743	0.075179933
RBFOX2	-0.334838857	0.006266093
TAB1	0.196919303	0.035301369
ASCC2	0.41791633	0.000459056
RBX1	-0.192374999	0.305037876
EP300	0.138756213	0.050130057
L3MBTL2	-0.090860953	0.132839319
PHF5A	-0.377286273	0.001020415
BRD1	0.103829265	0.146236371
HDAC10	0.415785592	0.002551445
PRMT5	0.252689736	0.066908848
SNW1	-0.061799927	0.254979118
TRIP11	-0.289852581	0.000462366
APEX1	-0.145562802	0.043789837
ARHGAP5	0.012731344	0.876652351
CHD8	-0.13118732	0.046176626
NFKBIA	0.189853126	0.163936724
BRMS1L	0.483992743	0.002430706
ZMYND8	-0.027637176	0.744323401
PABPC1L	-0.467596409	0.021562498
NELFCD	-0.097677543	0.110745385
PRPF6	0.181020499	0.047542652
MRGBP	-0.016509725	0.88496173
TRIB3	-0.269501091	0.333144335
CSNK2A1	-0.107926946	0.158828776
RPRD1B	-0.079889396	0.271644743
ACTR5	-0.031119872	0.792274328
LPIN2	-0.010659523	0.956320039
RBBP8	-0.610234045	0.001406809
TBL1X	-0.148590469	0.127746362
NKAP	-0.212543595	0.04319447
SUV39H1	-0.226885698	0.024762358
XIAP	-0.218089593	0.047270774
RBBP7	-0.235721772	0.032223173
PQBP1	-0.055941533	0.526948921
HTATSF1	-0.123322188	0.044380016
VGLL1	0.845740637	0.129691682
SUPT20H	-0.16567629	0.016319529
RGCC	-0.708309324	0.255470235
TRADD	0.390633381	0.015994747
ARL2BP	-0.042494122	0.672452325
SETD6	-0.290767259	0.014025671
AXIN1	-0.008802884	0.929365353
TAF1C	-0.123384627	0.291713519
CRYM	0.90063623	0.301026285
ELOB	0.222909601	0.421396455
DNAJA3	-0.010865462	0.912204489
RBL2	-0.083330895	0.54647166
PYCARD	0.360659446	0.596659817
KAT8	-0.226257835	0.069802698
TRIP4	0.001799824	0.989250797
BRF2	-0.232160388	0.056467733
EYA1	-0.331488108	0.55911604
IKBKB	0.11756407	0.208399849
STK3	0.02007429	0.827449674
CHRAC1	-0.384953003	0.003139687
NFKBIB	-0.218937962	0.081835911
PIH1D1	-0.175631992	0.090172613
ERCC2	0.072873911	0.463887753
DOT1L	-0.166343334	0.017646213
TLE5	-0.118929494	0.344745357
MED25	0.264337079	0.075413805
SNAPC2	0.077090175	0.407194989
ASF1B	-0.286140354	0.051107693
MED26	0.365136032	0.005114713
CCNE1	-0.050475573	0.768140708
URI1	-0.150262964	0.039198882
DYRK1B	0.214880053	0.242959792
TGFB1	0.68851894	0.000959465
MIER2	-0.005379684	0.970661111
PIK3R2	0.53847509	0.000582458
ELL	0.117718908	0.28091231
CRTC1	0.515083341	0.002807333
MTPN	0.189420207	0.006102181
CHCHD2	-0.265234856	0.003333677
BUD31	-0.360587157	0.003511791
TAF6	-0.165074604	0.042994552
EZH2	-0.730941444	0.000301753
CHCHD3	-0.281166219	0.002622937
AEBP1	0.338499717	0.759878713
TLE4	0.249648627	0.781527403
ENG	0.434126228	0.164303147
KDM4C	-0.004653847	0.971466578
KANK1	-0.109610843	0.678064165
EDF1	-0.013544434	0.931905642
PDLIM1	-0.024767128	0.942194231
NPM3	-0.382542027	0.00759356
SUFU	0.409875049	0.010632802
EDRF1	0.1503935	0.174900644
TRIM37	-0.013903563	0.865922017
CDK5RAP3	-0.236907029	0.02009
RECQL5	0.029729386	0.82948871
MED13	-0.176851759	0.022602544
RASD1	-0.696623395	0.275986117
RAI1	0.265398793	0.016141319
C1QBP	-0.145559489	0.146441465
MED31	-0.136813262	0.308064326
SMARCD2	0.03262191	0.646630727
DDX5	0.066988565	0.263567056
KAT2A	0.114531505	0.135036218
EZH1	0.051897972	0.713633676
HDAC5	0.797398008	0.001146034
SMURF2	-0.29889015	0.070049803
SUPT6H	0.155075289	0.046472436
PHF12	0.130421875	0.075779903
FBXW7	-0.658345831	2.86E-05
PPARGC1A	-0.723284935	0.436067801
HTATIP2	-0.113446579	0.098866605
ELP4	-0.085030065	0.350859163
HSPA8	-0.269656871	0.012978622
LPXN	-0.65796318	0.008626605
KMT5B	-0.161484913	0.013033468
CCND1	-1.247295124	0.000264019
RNF141	-0.35877247	0.008223621
BIRC2	0.102224747	0.220796458
CBL	-0.576359227	7.67E-05
HIPK3	2.300589074	3.73E-06
AIP	0.032400177	0.548791775
NUP98	-0.511675334	0.000154066
GTF2H1	-0.291795857	0.003995971
POU2AF1	0.018049581	0.991492482
CDKN1B	-0.000622826	0.996839721
GTF2H3	-0.249580773	0.021113031
CNOT2	-0.006033691	0.947804253
TIMELESS	-0.192529844	0.037682819
CHD4	-0.287355412	0.001518638
ING4	0.280569341	0.078980508
ATN1	-0.005739191	0.948765074
SUDS3	0.04453073	0.656236069
HCFC2	0.046490692	0.713633676
BTN3A3	-0.301980367	0.383535925
TDP2	-0.80279807	0.000638606
FRK	-0.510186006	0.330182049
MAK	-0.187583596	0.734998608
ASF1A	-0.205529371	0.048745142
NCOA7	-0.376414278	0.153882142
RNF8	-0.081153818	0.38905487
ZNF451	-0.148748748	0.042665975
CCNC	-0.614037908	4.10E-05
ASCC3	-0.129451289	0.09954111
MED23	0.020858618	0.859495796
GMNN	-0.473371913	0.007928635
EYA4	-0.442588064	0.747048327
PHF1	0.94957566	3.37E-05
MDFI	-0.586540319	0.212690482
TBP	-0.239543304	0.036463343
VEGFA	-0.151301068	0.35140871
ERBIN	-0.179291321	0.028677817
BRD8	-0.101245294	0.185627142
CNOT6	0.560227334	0.003473941
FGF1	-0.793992176	0.4450574
WWC1	-0.826758312	0.001229465
TCERG1	0.040343031	0.688213152
ACTR8	0.07599997	0.302552407
KAT2B	0.619623239	0.002904138
INO80D	-0.17315821	0.076079192
KCNIP3	0.020404891	0.985735697
NCL	-0.094590136	0.457599558
INO80B	0.315871293	0.039977227
PCGF1	0.063615274	0.649852078
LOXL3	-0.403368889	0.158098936
KDM3A	-0.137472337	0.281657293
FHL2	-0.288751043	0.191190645
TAF1B	-0.199554501	0.088556945
ORC2	-0.132068675	0.098486192
TRAK2	-0.171570146	0.037903205
SUMO1	-0.136536167	0.034474897
BCL9	0.226849905	0.024463228
PARK7	-0.119877772	0.154029463
WDR77	-0.107949205	0.251969741
HDAC1	0.007060411	0.93873784
ASH1L	1.038899691	0.000125702
MAD2L2	-0.143829852	0.069360934
CTH	-0.26652843	0.246840021
TTF2	-0.180581432	0.181097314
PADI2	0.740925963	0.054741316
KDM5B	0.140357185	0.379402201
RBBP5	-0.116048373	0.189010427
DR1	-0.312702523	0.000263817
CENPF	-0.342530397	0.028062079
KMT2A	-0.114700798	0.140295567
CASP8AP2	-0.205636025	0.042272986
SGK1	-0.38487472	0.130989196
MED28	0.969906484	0.000128092
ELL2	-0.716401038	0.000661123
HEATR1	-0.24896222	0.017629562
TRIM32	0.436037176	0.00333108
PHF19	-0.480320741	0.002240723
IRF2BPL	0.522985371	0.000197656
SUPT7L	0.021270087	0.828456497
HELLS	-0.093685538	0.507060859
ENY2	-0.263030221	0.018023514
EPC1	0.392498364	0.003661133
TAF12	-0.221404561	0.022222039
KDM3B	0.301198134	0.001300909
CLU	0.504748991	0.011200937
COPS5	-0.131980688	0.027670498
TRIM25	0.17353679	0.213470481
TRIM6	-0.104694199	0.699267905
PSPC1	0.049771532	0.610503476
RNF2	-0.167155753	0.037251632
ZMYM2	0.049259032	0.635616043
LRIF1	0.110667377	0.112078361
RWDD3	0.062744284	0.646971821
RPAP2	0.064153711	0.499367528
CBX3	-0.325198887	0.000765519
TRIM24	0.421727859	0.002928257
ECD	-0.230656889	0.005051909
DDX54	-0.067110278	0.395399142
MED13L	0.372384181	0.015343182
WWP1	-0.321652281	0.000466314
PFDN5	-0.102741613	0.329603704
CDK2	-0.417752749	0.003473941
MORF4L2	-0.17463942	0.098052935
NMI	-0.07220853	0.701969516
RAP2C	-0.340622015	0.003396779
AGO2	0.258249349	0.099055538
NCOA3	0.422175809	0.010203165
CHD6	0.307463171	0.008349511
SIRT5	-0.211861206	0.081719102
MED20	-0.074000593	0.425160691
DEK	-0.401342474	0.000359804
CNOT1	-0.142657317	0.049296416
GTF2F1	-0.058450857	0.394823104
MED1	0.450609958	0.001552816
CENPB	-0.192821726	0.020594337
CITED1	-0.575452565	0.506554118
RALY	-0.253851935	0.013883872
KDM5C	0.003474456	0.962727998
PRDX5	0.124281444	0.303415008
PRMT1	-0.005920631	0.96071895
UXT	-0.141511452	0.351134282
PIN1	0.031711601	0.865448499
SIN3B	0.39870235	0.004113363
SMARCA4	-0.058883732	0.496008516
KDM4B	0.604413275	0.000305702
RNF6	0.021504807	0.820311148
HAT1	-0.437107758	0.000523831
ELL3	0.615866456	0.068608065
INO80	-0.300287017	0.000990698
ICE2	-0.038150595	0.581129162
CCNT1	0.036045341	0.659490425
RIPK3	0.129438333	0.924428482
AJUBA	0.129908859	0.326640247
SNX6	0.040301762	0.528754571
EAPP	0.3140181	0.008242439
NEDD8	-0.214026121	0.160824996
ASH2L	-0.138733328	0.041963471
CDKN1C	1.21855636	0.010693103
CBFA2T3	0.269537494	0.669785987
PHF10	-0.173751161	0.024267454
ELOF1	0.185304416	0.217049893
SAFB2	0.279079424	0.040098064
MLLT1	-0.061516034	0.420753861
ACTN4	-0.076744224	0.408594917
HELZ2	0.768028935	0.006015852
TNNI2	0.555143525	0.561374715
TAF4	-0.116842986	0.230801308
TRIM28	0.06976905	0.322847122
MED18	-0.090985627	0.503737873
DNMT1	0.777750091	2.86E-05
NOL11	-0.125660336	0.091807068
HABP4	-0.223857006	0.02036858
RBM39	-0.196266635	0.037255133
CHMP1A	0.044192895	0.693555104
RLIM	-0.027980739	0.738067899
CHD1L	-0.490723158	9.59E-05
DNAJB1	-0.018304653	0.907086024
RAF1	-0.344050302	0.000454049
TRIM5	-0.092405645	0.708704931
TRIM22	0.430267332	0.637761435
PER2	-0.189766595	0.257787974
RAN	-0.364769774	0.0002247
MYBBP1A	-0.062706941	0.612068983
LANCL2	0.338014011	0.029531879
WBP2	0.157486409	0.091887078
KDM6B	0.204323955	0.283555401
GPS2	0.401343633	0.00429199
PCBD2	-0.112114792	0.463058056
PRMT7	0.08704565	0.494086714
POLR3F	-0.025758184	0.80055177
LPIN3	0.586473532	0.020920419
ZMYM5	0.112513257	0.332718248
CDK8	-0.018611538	0.790042587
CCNA1	0.459218453	0.800900695
RFXAP	-0.543004362	0.00756033
TCEAL4	0.095156754	0.472338992
BEX1	-1.633510526	0.25218745
KMT5C	0.02488182	0.892181919
MED10	-0.289302182	0.017959494
BTG1	-0.166623864	0.240499073
CCDC59	0.06340409	0.648281044
DUSP26	1.12281192	0.347688715
DPF2	0.005959009	0.931721847
MEN1	0.232546699	0.019119272
MED6	-0.329430317	0.001377259
LOXL2	0.50038973	0.028264589
ELP3	-0.083779497	0.339239653
CDK7	-0.415127441	0.000628259
VHL	-0.226350394	0.006974965
NOTCH2	0.02327375	0.82052088
PPHLN1	-0.284534186	0.001752966
LPIN1	-0.083532495	0.750965144
CDC73	0.110593934	0.149405928
CCNH	-0.310754731	0.016638906
KCTD1	0.058649586	0.771042807
ELP2	-0.021257116	0.844203895
ARGLU1	-0.177366329	0.155318743
DTX1	0.887491808	0.407541541
LMO2	0.904120411	0.094896646
PHF21A	0.456780601	0.000315512
MDM2	-0.462764908	0.000187156
FHOD1	0.190018185	0.019002379
EGLN1	0.215384164	0.042902299
TAF5L	-0.058393254	0.582891972
DHX9	0.02753113	0.761314506
EPC2	0.170043132	0.106290709
MED4	-0.395481577	0.002086103
ALPK3	0.053313217	0.854432508
BRIP1	-0.411011764	0.017569711
ACTL6A	-0.480155533	0.000414365
SKIL	-0.040482328	0.801129547
SAP130	0.158851612	0.051547963
CDK9	0.167281111	0.033929823
TXN	-0.475687412	0.005761553
NIBAN2	-0.13627964	0.22854855
ANP32B	-0.38728588	0.001742656
GRHPR	-0.186823684	0.032737447
PIM1	-0.019029638	0.932989934
TAF8	0.030450979	0.781413972
ARRB1	0.611667197	0.004581146
TGS1	-0.191347164	0.012380167
YAP1	-0.179963391	0.026568807
TRIM29	0.795152646	0.073409968
SLTM	0.232097491	0.001300088
RTF1	1.074097011	1.43E-05
PAK6	0.546487979	0.059580191
GTF2B	-0.458229007	0.008133089
LRPPRC	-0.215392717	0.034065599
ASCC1	0.063946616	0.506180413
NAB1	-0.862538873	0.00047313
CIR1	0.262895933	0.022988202
PARP9	0.567212488	0.027881974
HNRNPD	0.592764724	0.007768833
FGF2	0.1233243	0.867695957
CNOT6L	-0.293683486	0.012639815
TDG	-0.438080713	0.000204881
RITA1	-0.118858705	0.092509777
BRCA2	-0.265739695	0.089617049
RB1	-0.340542212	0.002226295
SETD1B	0.239273676	0.018326882
GTF2A2	-0.272169921	0.103538512
TLE3	0.308442262	0.103976008
ANP32A	-0.253994745	0.013092375
WDR61	-0.11720633	0.105342741
NCOA2	0.273814374	0.00041795
PML	0.402736475	0.036156332
TGFB1I1	0.127572454	0.400695499
MED9	-0.083861375	0.333144335
MYOCD	0.21869587	0.886765856
UTP4	-0.643104035	0.000220506
TOB1	1.007096909	2.90E-05
SKAP1	-0.254653807	0.384031652
BCAS3	0.631660747	0.040204479
SS18	0.954026463	0.000284553
TAF4B	-0.266827534	0.243059395
RPRD1A	0.37511969	0.002982366
PELP1	-0.050475153	0.694543616
ARRB2	0.071970385	0.759317867
RPTOR	0.66844129	4.98E-05
CBX8	0.441498071	0.00356735
CBX4	0.492815148	0.007045819
ERBB2	0.597235633	0.006760451
BRD4	0.016883335	0.863826598
SIRT3	0.43418286	0.00401234
WTIP	0.20648242	0.206623153
CARM1	0.208225732	0.005965121
PEX14	-0.108747342	0.236222616
ZNF593	-0.027441543	0.868485548
WDTC1	0.034480461	0.7770497
ITGB3BP	-1.752057967	0.000125341
BCL10	-0.228430943	0.033588119
MTF2	0.342582854	0.001473219
CREG1	0.09056148	0.229125177
DCAF6	0.235730015	0.006925519
HDGF	-0.097329913	0.229682366
ANP32E	-0.147233328	0.223119351
TAF1A	-0.541892653	0.003661133
SMYD2	-0.435927678	0.000620424
S100A8	0.90343694	0.385639051
ILF2	-0.511453031	0.000257722
VGLL4	0.234339203	0.010051704
CTDSP1	-0.21643303	0.039187749
CNOT9	-0.203640804	0.017610922
EAF1	-0.145311384	0.059932622
LIMD1	0.616183765	0.000482885
NFKBIZ	-0.124494778	0.539560729
MED12L	0.25051443	0.912882351
DCAF1	0.078028085	0.392446276
EAF2	-0.12245396	0.651669095
DGKQ	0.435099522	0.016741901
CAMK2D	-0.106589295	0.2858095
CCNA2	-0.511226733	0.001871208
SETD7	0.676748297	0.005081796
PIK3R1	-0.053239518	0.801122191
SSBP2	0.591006789	0.021854479
BDP1	-0.164081504	0.074215893
GTF2H2	-0.313959882	0.017721414
BTF3	-0.472041992	0.000461169
TNIP1	-0.061724587	0.59124333
ABT1	0.309712594	0.000657561
PHIP	-0.041537551	0.645170021
PNRC1	0.930919995	0.00084485
EGFR	0.090409112	0.680172989
CASK	0.882314786	9.59E-05
KDM6A	-0.613822656	0.379402201
HDAC8	-0.261600906	0.063877856
TAF1	-0.159670659	0.047670116
NONO	-0.180076037	0.011920019
OGT	0.035980122	0.617595407
RBMX	-0.156219016	0.09725268
NSD3	0.089750116	0.133492269
MTDH	-0.138572396	0.185779009
MED22	-0.147277714	0.054549636
REXO4	-0.18211496	0.07980794
NOTCH1	0.566599706	0.099683224
NRBF2	-0.253835523	0.026971809
ANKRD1	-0.631732801	0.236933144
TAF5	-0.297108641	0.036606735
PPRC1	-0.194937101	0.039203634
NPAT	-0.211218233	0.02752667
CHEK1	-0.792855524	5.85E-05
TIRAP	-0.2037246	0.167322849
SAP18	0.085546808	0.641118914
PDCD4	0.28518889	0.037575609
SRFBP1	-0.110382065	0.320803513
ANKAR	-0.341892168	0.327649964
CENPU	-0.545145139	0.00447934
SAV1	-0.163898746	0.012380167
BEND6	-0.609067646	0.142413149
TADA1	-0.300520897	0.013749689
JMY	0.798045544	0.003112774
SUV39H2	-0.276333197	0.026934666
CAMK4	0.28412981	0.798858585
MED21	-0.184547252	0.067511571
CDYL	-0.044298383	0.545196873
DAB2	-0.364007061	0.324707927
SMARCA5	-0.17465127	0.011788305
HNRNPU	-0.163957436	0.059700858
INO80C	-0.385524913	0.083176285
ING1	-0.098082981	0.414572611
GTF2E1	-0.063101503	0.512158397
PID1	-0.399933717	0.481724973
CHD1	-0.223604869	0.021207064
WNT3A	1.037822456	0.322490673
TRIM11	0.075087687	0.449164761
ELOC	-0.234577157	0.11269981
CXXC1	0.051409256	0.556635073
MMS19	-0.128045621	0.151371877
CNOT8	0.054234902	0.509795777
KDM8	0.297426796	0.22528498
RNF20	0.17747693	0.072440122
PPARGC1B	0.519807823	0.040920381
MED7	-0.043263733	0.729705552
GRIP1	-0.119351571	0.853905236
PCGF6	-0.191524274	0.051206469
SFR1	-0.557757197	0.002128308
MED19	-0.061012606	0.650481766
KAT6B	0.201521288	0.021113031
ATAD2	-0.304236831	0.013826794
RBPMS	0.111261107	0.510185858
NRG1	0.078088027	0.881621985
PAXIP1	-0.506670483	0.001267414
SSBP3	0.627535717	0.001159048
RNF111	0.040276441	0.571014988
TAB3	-0.240591706	0.008677867
SKI	-0.058903286	0.643406919
NCK1	-0.083088248	0.45178916
EYA3	0.167709697	0.087820845
AUTS2	-0.228848129	0.817101096
CNOT11	-0.055450091	0.481115522
EMSY	-0.482963398	0.000457715
NPM2	-0.172125706	0.962727998
PINK1	0.447279875	0.019075114
CCAR2	0.038860694	0.676437695
CHAF1B	-0.140458091	0.404324278
PADI4	0.713334179	0.68033166
MED8	-0.262913033	0.010797365
CTBP1	-0.036228745	0.679332009
ARHGAP35	-0.073440029	0.358876327
SSU72	0.004486785	0.944758946
PRMT2	-0.118226223	0.105881263
MED27	-0.020455253	0.840778723
SAFB	0.084142962	0.316275189
CHTOP	-0.22284707	0.051059355
CRTC2	0.143810005	0.093903
PMF1	-0.259280667	0.002703726
TONSL	0.066510571	0.422417818
SQSTM1	0.12601134	0.430441289
MAML1	0.162165761	0.124590382
DVL3	-0.310506871	0.003037156
SAP30BP	-0.318496262	0.000882664
SRSF2	-0.152446014	0.059414073
MED11	0.061777493	0.745275108
TAF6L	0.168610398	0.081835911
RBBP4	-0.215625428	0.005752267
WNT4	0.459077525	0.605779935
NLRP3	-0.765044956	0.572242589
RBM15	0.019549538	0.848681324
TFB2M	0.038117973	0.785371799
DPY30	-0.084852194	0.51708482
SMARCAD1	-0.111303423	0.332506282
ERCC3	0.112683262	0.099683224
S100A9	-0.169377449	0.863284676
CGGBP1	-0.149766942	0.098845419
PBXIP1	0.512049309	0.006602142
PYGO2	-0.019839163	0.798403652
HIPK1	0.550726977	0.000389794
YY1AP1	-0.040779721	0.561959489
RNF25	-0.026366002	0.827590432
STK36	0.023678027	0.902838755
HDAC11	0.679274993	0.006966845
RYBP	-0.018394254	0.866955005
YEATS2	-0.136259006	0.080182928
MEAF6	-0.307862154	0.000527134
SNIP1	0.139054802	0.103257454
SFMBT1	-0.094045042	0.249250269
GNL3	-0.161905172	0.075486749
TASOR	-0.018463123	0.906613417
RNF168	-0.416480104	0.007107717
H2AZ1	-0.557564422	0.005854163
SAP30	-0.234064784	0.257609193
NAA15	-0.605610286	6.63E-05
ICE1	0.126199349	0.142739755
NIPBL	0.209583442	0.005624487
ANKRA2	-0.031017199	0.841967195
CITED2	0.830775726	0.000366434
SAP30L	0.200613027	0.037038217
PTTG1	-0.644269426	0.004753774
PEX2	-0.086181597	0.205276334
RAD21	-0.120353613	0.095871369
MED30	-0.281519684	0.04853669
CDK5	0.251909671	0.009433525
PSIP1	-0.763572333	0.000155976
SYK	-0.862693261	0.42235725
KDM1B	-0.0677659	0.421778826
HNRNPK	-0.027340996	0.701886024
FBP1	0.16742221	0.898908445
GTF2A1	-0.093967854	0.144794556
NUDT5	-0.384882241	0.007111044
DACT1	-1.288862733	0.104887644
TAF3	-0.187763526	0.035999438
NSD1	0.092632284	0.300643309
ANKRD2	0.682232718	0.370092754
TAF1D	-0.09812905	0.262997782
HIF1AN	-0.09168043	0.171483538
BRD7	-0.284559727	0.000627331
BTRC	0.990707716	1.95E-05
COPS2	-0.347611702	0.000347603
PCBD1	-0.028086934	0.776915337
APBB1	0.11481158	0.808296893
ILK	0.207369829	0.042880164
TAF10	-0.024105207	0.857020769
CDYL2	-0.393528758	0.500223045
LEO1	-0.11142834	0.172248487
ATF7IP2	0.052801223	0.822405591
TERF2IP	-0.103646339	0.201389051
PLK1	-0.0904694	0.492667491
NAB2	-0.153173567	0.587557684
YWHAB	-0.158120028	0.020072233
CRK	-0.14258548	0.02490924
NOD2	0.652838417	0.340795553
CDK12	-0.106789049	0.195319013
KMT2D	-0.087372047	0.272822652
SERTAD3	0.372653553	0.012253529
NFKBID	0.034655586	0.910772882
DAPK3	0.171011777	0.098454751
CTNNB1	0.149296575	0.13301274
SF1	-0.077806965	0.171373658
BMI1	-0.278518847	0.013237037
H1-4	-0.34117531	0.442952861
ING5	-0.051501133	0.438602754
HR	0.293292284	0.659837646
HEXIM2	-0.145257725	0.520438213
TNIP2	0.013338453	0.877339038
LGALS9	1.211568497	0.002147215
ADRB2	-0.177150438	0.787454066
SIN3A	0.13876964	0.06003118
HINT1	-0.245705538	0.008613656
INO80E	-0.017804822	0.847372099
BRD3	0.186172816	0.032868459
CHD3	0.33882433	0.005808164
CDK1	-0.437574244	0.003152811
PA2G4	-0.424537392	0.001540841
SDR16C5	-0.119345807	0.824552789
INSR	0.811090897	0.00022951
TADA3	-0.232788736	0.010306744
TRIM8	0.238218459	0.212551133
SCAND1	0.120505678	0.239165305
CHD7	-0.383543806	0.001886162
ASXL1	0.072602563	0.195513489
PPID	-0.296620021	0.01041632
PLRG1	-0.160812213	0.041939123
CXXC5	0.849124883	0.002128308
BPTF	0.094146895	0.16334175
ATF7IP	0.178595009	0.041945851
TCEA2	0.014482523	0.944503893
HDAC3	-0.160706271	0.076414697
MLLT3	-0.262123408	0.62678158
PTEN	-0.316476148	0.009550631
PRNP	-0.369570006	0.034641558
JMJD1C	-0.159464751	0.047034812
MALT1	-0.062620533	0.644554828
COPRS	-0.189123796	0.016079705
TCEAL1	0.118530666	0.425145967
BANP	0.006818669	0.964591558
HCFC1	0.024794185	0.790066953
PHF8	0.103415416	0.417930713
KAT5	0.687999989	7.38E-05
KDM2A	0.079791226	0.260891538
COMMD1	-0.096863795	0.569385729
PARP14	0.408246411	0.067944411
TNKS	0.131761253	0.249877237
TRIB1	-0.311400804	0.205743051
SCAI	0.054166011	0.635500663
SLC19A1	-0.090130436	0.350961811
JUP	0.324064115	0.113021961
PLK3	-0.561129294	0.035286634
CBX2	-0.443668853	0.065963798
RALGAPA1	-0.150347931	0.141771117
